# ## ## ## ##X#
 R X  X  X  X X
# ##X##X##X##X#
#X##X## ## ##X#
X XX X   X  X X
#X##X## ## ##X#
# ## ## ##X## #
               
# ## ## ##X## #
# ##X## ##X##X#
   X X   X  X X
# ##X## ##X##X#
# ##X## ## ## #
   X X   X X   
# ##X## ##X## #

episode  419 score 10183.00 average score 10151.43 epsilon 0.05
episode  420 score 10171.00 average score 10151.64 epsilon 0.05
episode  421 score 10193.00 average score 10152.52 epsilon 0.05
episode  422 score 10094.00 average score 10151.78 epsilon 0.05
episode  423 score 10194.00 average score 10151.79 epsilon 0.05
episode  424 score 10202.00 average score 10152.17 epsilon 0.05
episode  425 score 10188.00 average score 10152.39 epsilon 0.05
episode  426 score 10170.00 average score 10152.89 epsilon 0.05
episode  427 score 10189.00 average score 10153.37 epsilon 0.05
episode  428 score 10167.00 average score 10153.14 epsilon 0.05
episode  429 score 10194.00 average score 10153.13 epsilon 0.05
episode  430 score 10182.00 average score 10155.29 epsilon 0.05
episode  431 score 10167.00 average score 10155.51 epsilon 0.05
episode  432 score 10188.00 average score 10156.11 epsilon 0.05
episode  433 score 10160.00 average score 10156.41 epsilon 0.05
episode  434 score 10184.00 average score 10156.43 epsilon 0.05
episode  435 score 10198.00 average score 10156.97 epsilon 0.05
episode  436 score 10120.00 average score 10156.20 epsilon 0.05
episode  437 score 9983.00 average score 10154.74 epsilon 0.05
episode  438 score 10161.00 average score 10154.65 epsilon 0.05
episode  439 score 10199.00 average score 10154.83 epsilon 0.05
episode  440 score 10203.00 average score 10154.93 epsilon 0.05
episode  441 score 10029.00 average score 10153.58 epsilon 0.05
episode  442 score 10155.00 average score 10153.54 epsilon 0.05
episode  443 score 10183.00 average score 10154.37 epsilon 0.05
episode  444 score 10196.00 average score 10154.69 epsilon 0.05
episode  445 score 10178.00 average score 10154.57 epsilon 0.05
episode  446 score 9977.00 average score 10153.32 epsilon 0.05
episode  447 score 10191.00 average score 10153.95 epsilon 0.05
episode  448 score 10193.00 average score 10154.56 epsilon 0.05
episode  449 score 10186.00 average score 10156.59 epsilon 0.05
episode  450 score 10206.00 average score 10156.68 epsilon 0.05
episode  451 score 10178.00 average score 10156.57 epsilon 0.05
episode  452 score 10196.00 average score 10157.38 epsilon 0.05
episode  453 score 10192.00 average score 10157.44 epsilon 0.05
episode  454 score 10187.00 average score 10157.44 epsilon 0.05
episode  455 score 10090.00 average score 10157.06 epsilon 0.05
episode  456 score 10168.00 average score 10157.00 epsilon 0.05
episode  457 score 10174.00 average score 10158.93 epsilon 0.05
episode  458 score 10206.00 average score 10161.16 epsilon 0.05
episode  459 score 10200.00 average score 10161.53 epsilon 0.05
episode  460 score 10159.00 average score 10162.03 epsilon 0.05
episode  461 score 10182.00 average score 10163.25 epsilon 0.05
