#X##X##X##X##X#
XRX  X  X  XX X
#X## ## ## ##X#
#X##X##X##X##X#
X X  X  X  XX X
# ## ## ##X##X#
#X##X##X##X##X#
X X  X  XX XX X
# ## ##X##X##X#
#X##X##X##X##X#
X X  XX XX XX X
# ##X##X##X##X#
#X##X##X##X##X#
X XX XX XX XX X
#X##X##X##X##X#

episode  462 score -304.00 average score -303.36 epsilon 0.01
episode  463 score -300.00 average score -303.28 epsilon 0.01
episode  464 score -304.00 average score -303.32 epsilon 0.01
episode  465 score -300.00 average score -303.24 epsilon 0.01
episode  466 score -300.00 average score -303.12 epsilon 0.01
episode  467 score -304.00 average score -303.08 epsilon 0.01
episode  468 score -304.00 average score -303.12 epsilon 0.01
episode  469 score -304.00 average score -303.12 epsilon 0.01
episode  470 score -312.00 average score -303.20 epsilon 0.01
episode  471 score -300.00 average score -303.12 epsilon 0.01
episode  472 score -300.00 average score -303.08 epsilon 0.01
episode  473 score -308.00 average score -303.12 epsilon 0.01
episode  474 score -308.00 average score -303.16 epsilon 0.01
episode  475 score -300.00 average score -303.12 epsilon 0.01
episode  476 score -304.00 average score -303.16 epsilon 0.01
episode  477 score -300.00 average score -303.16 epsilon 0.01
episode  478 score -300.00 average score -303.12 epsilon 0.01
episode  479 score -304.00 average score -303.16 epsilon 0.01
episode  480 score -304.00 average score -303.12 epsilon 0.01
episode  481 score -312.00 average score -303.16 epsilon 0.01
episode  482 score -304.00 average score -303.20 epsilon 0.01
episode  483 score -300.00 average score -303.16 epsilon 0.01
episode  484 score -308.00 average score -303.20 epsilon 0.01
episode  485 score -300.00 average score -303.20 epsilon 0.01
episode  486 score -300.00 average score -303.20 epsilon 0.01
episode  487 score -304.00 average score -303.24 epsilon 0.01
episode  488 score -304.00 average score -303.28 epsilon 0.01
episode  489 score -304.00 average score -303.28 epsilon 0.01
episode  490 score -304.00 average score -303.28 epsilon 0.01
episode  491 score -300.00 average score -303.24 epsilon 0.01
